learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
570.0,1.078125,0.0,570.0,67.71929824561404,25.764439411098532,570.0,0.0,0.0,0.0
580.0,1.109375,0.0,580.0,67.93103448275862,26.70000543566886,580.0,0.0,0.0,0.0
590.0,1.140625,0.0,590.0,67.96610169491527,26.710483075911945,590.0,0.0,0.0,0.0
600.0,1.1875,0.0,600.0,68.33333333333333,27.620885818772873,600.0,0.0,0.0,0.0
610.0,1.21875,0.0,610.0,68.52459016393443,28.260789670337754,610.0,0.0,0.0,0.0
620.0,1.265625,0.0,620.0,68.54838709677419,28.04941915825556,620.0,0.0,0.0,0.0
630.0,1.296875,0.0,630.0,68.88888888888889,28.429838288993214,630.0,0.0,0.0,0.0
640.0,1.34375,0.0,640.0,68.90625,28.609865470852025,640.0,0.0,0.0,0.0
650.0,1.375,0.0,650.0,69.07692307692308,28.747504935591895,650.0,0.0,0.0,0.0
660.0,1.421875,0.0,660.0,68.63636363636364,27.935436227450168,660.0,0.0,0.0,0.0
670.0,1.453125,0.0,670.0,68.80597014925374,28.076879616218292,670.0,0.0,0.0,0.0
680.0,1.5,0.0,680.0,68.97058823529412,28.40319361277445,680.0,0.0,0.0,0.0
690.0,1.546875,0.0,690.0,69.1304347826087,28.781872982952628,690.0,0.0,0.0,0.0
700.0,1.578125,0.0,700.0,68.85714285714286,28.22201317027282,700.0,0.0,0.0,0.0
710.0,1.625,0.0,710.0,68.73239436619718,27.883163587448855,710.0,0.0,0.0,0.0
720.0,1.671875,0.0,720.0,68.88888888888889,28.016067841999554,720.0,0.0,0.0,0.0
730.0,1.71875,0.0,730.0,68.9041095890411,28.122804125857755,730.0,0.0,0.0,0.0
740.0,1.765625,0.0,740.0,68.91891891891892,27.82018659881254,740.0,0.0,0.0,0.0
750.0,1.796875,0.0,750.0,68.66666666666667,27.53891314536619,750.0,0.0,0.0,0.0
760.0,1.828125,0.0,760.0,68.8157894736842,28.1245011971269,760.0,0.0,0.0,0.0
770.0,1.875,0.0,770.0,68.57142857142857,27.738222656552963,770.0,0.0,0.0,0.0
780.0,1.9375,0.0,780.0,68.58974358974359,27.99981915182205,780.0,0.0,0.0,0.0
790.0,1.984375,0.0,790.0,68.60759493670886,28.25125245363724,790.0,0.0,0.0,0.0
800.0,2.03125,0.0,800.0,68.625,28.39006019799722,800.0,0.0,0.0,0.0
810.0,2.078125,0.0,810.0,68.88888888888889,28.891923527116646,810.0,0.0,0.0,0.0
820.0,2.109375,0.0,820.0,69.02439024390243,28.855915124437242,820.0,0.0,0.0,0.0
830.0,2.15625,0.0,830.0,68.79518072289157,28.44208325843671,830.0,0.0,0.0,0.0
840.0,2.1875,0.0,840.0,68.69047619047619,28.30531576556111,840.0,0.0,0.0,0.0
850.0,2.234375,0.0,850.0,68.47058823529412,27.852030151390384,850.0,0.0,0.0,0.0
860.0,2.296875,0.0,860.0,68.6046511627907,28.1154610578977,860.0,0.0,0.0,0.0
870.0,2.34375,0.0,870.0,68.85057471264368,28.40484649722146,870.0,0.0,0.0,0.0
880.0,2.390625,0.0,880.0,68.75,27.95389048991354,880.0,0.0,0.0,0.0
890.0,2.453125,0.0,890.0,68.53932584269663,27.882250120099787,890.0,0.0,0.0,0.0
900.0,2.5,0.0,900.0,68.44444444444444,27.664608296495853,900.0,0.0,0.0,0.0
910.0,2.5625,0.0,910.0,68.46153846153847,27.886659708531447,910.0,0.0,0.0,0.0
920.0,2.609375,0.0,920.0,68.58695652173913,28.524576061593383,920.0,0.0,0.0,0.0
930.0,2.671875,0.0,930.0,68.70967741935485,28.670831027121068,930.0,0.0,0.0,0.0
940.0,2.71875,0.0,940.0,68.82978723404256,28.940741810976483,940.0,0.0,0.0,0.0
950.0,2.78125,0.0,950.0,68.84210526315789,29.008901657637093,950.0,0.0,0.0,0.0
960.0,2.828125,0.0,960.0,68.64583333333333,28.76161173895034,960.0,0.0,0.0,0.0
970.0,2.890625,0.0,970.0,68.76288659793815,28.900425276623327,970.0,0.0,0.0,0.0
980.0,2.9375,0.0,980.0,68.6734693877551,28.570750237416913,980.0,0.0,0.0,0.0
990.0,3.0,0.0,990.0,68.78787878787878,28.828677917835755,990.0,0.0,0.0,0.0
1000.0,3.0625,0.0,1000.0,68.7,28.78270762229808,1000.0,0.0,0.0,0.0
1010.0,3.125,0.0,1010.0,68.89999999999999,29.0375576142016,1010.0,0.0,0.0,0.0
1020.0,3.171875,0.0,1020.0,69.19999999999999,30.076280421358504,1020.0,0.0,0.0,0.0
1030.0,3.21875,0.0,1030.0,69.3,30.147895335608638,1030.0,0.0,0.0,0.0
1040.0,3.28125,0.0,1040.0,69.1,30.040481430162725,1040.0,0.0,0.0,0.0
1050.0,3.34375,0.0,1050.0,69.5,30.87411382880349,1050.0,0.0,0.0,0.0
1060.0,3.40625,0.0,1060.0,69.5,31.133830675023933,1060.0,0.0,0.0,0.0
1070.0,3.46875,0.0,1070.0,69.5,31.353925655176134,1070.0,0.0,0.0,0.0
1080.0,3.546875,0.0,1080.0,69.39999999999999,31.559547666762093,1080.0,0.0,0.0,0.0
1090.0,3.609375,0.0,1090.0,69.6,31.758695154418398,1090.0,0.0,0.0,0.0
1100.0,3.65625,0.0,1100.0,69.6,32.07978837491955,1100.0,0.0,0.0,0.0
1110.0,3.71875,0.0,1110.0,69.89999999999999,32.61153797933122,1110.0,0.0,0.0,0.0
1120.0,3.78125,0.0,1120.0,70.0,33.01029408480897,1120.0,0.0,0.0,0.0
1130.0,3.859375,0.0,1130.0,70.1,33.12697376072427,1130.0,0.0,0.0,0.0
1140.0,3.90625,0.0,1140.0,70.1,33.332738753522875,1140.0,0.0,0.0,0.0
1150.0,3.96875,0.0,1150.0,70.1,33.19450899081255,1150.0,0.0,0.0,0.0
1160.0,4.046875,0.0,1160.0,70.5,34.08822793407928,1160.0,0.0,0.0,0.0
1170.0,4.09375,0.0,1170.0,70.6,34.379687165202476,1170.0,0.0,0.0,0.0
1180.0,4.15625,0.0,1180.0,70.7,34.46890739763281,1180.0,0.0,0.0,0.0
1190.0,4.203125,0.0,1190.0,70.39999999999999,33.90349016367818,1190.0,0.0,0.0,0.0
1200.0,4.28125,0.0,1200.0,70.6,34.379687165202476,1200.0,0.0,0.0,0.0
1210.0,4.34375,0.0,1210.0,70.8,34.72555673287998,1210.0,0.0,0.0,0.0
1220.0,4.40625,0.0,1220.0,71.1,35.1261560563886,1220.0,0.0,0.0,0.0
1230.0,4.46875,0.0,1230.0,70.89999999999999,34.745169797104566,1230.0,0.0,0.0,0.0
1240.0,4.53125,0.0,1240.0,71.1,34.988977369865474,1240.0,0.0,0.0,0.0
1250.0,4.609375,0.0,1250.0,71.0,35.1381334096765,1250.0,0.0,0.0,0.0
1260.0,4.6875,0.0,1260.0,71.1,35.294644456385456,1260.0,0.0,0.0,0.0
